city_vac,profession,salary,description
Москва,медсестра,35000.0,наличие действующего сертификата медицинской сестры фельдшера навыки контрольнокассовым аппаратом банковским терминалом организаторские способности исполнительность коммуникабельность доброжелательность презентабельный внешний вид грамотная устная письменная речь готовность обучению желание развиваться команде тч студентам медвузов сертификатом медицинской сестры
Махачкала,кассир,25000.0,образование среднеспециального знание навыков продаж коммуникабельность ответственность внимательность энергичность грамотная речь
Ульяновск,кассир,22500.0,готовность большим объемом информации грамотная речь уверенный пользователь пк наличие медицинской книжки будет преимуществом
Воронеж,медсестра,28500.0,среднее медицинское образование медсестра фельдшер уверенный пользователь пк
Ярославль,кассир,29900.0,грамотная речь желание интенсивном режиме качественно общаться большим количеством посетителей медицинского центра приветствуется наличие медицинского образования
,кассир,30000.0,образование среднее специальное высшее желателен пользователь пк приветствуем знание мис &quotэлемент&quot онлайн касса желательно умение общаться пациентами клиентами умение решать конфликтные ситуации
Ярославль,кассир,25000.0,уверенный пользователь пк образование высшее среднее специальное желательное медицинское ответственность доброжелательность пунктуальность дисциплинированность медицинских учреждениях ккм желателен
Симферополь,кассир,27500.0,коммуникабельность приветливость вежливость позитивный настрой умение взаимодействовать пациентами желание навыки урегулирования конфликтных ситуаций ответственное отношение внимательность знание пк уверенный пользователь знание word excel высокая скорость мышления реагирования поступающую информацию
,бухгалтер,75000.0,должности главного бухгалтера ти лет компаниями различных отраслей осн усн знания уровне продвинутого пользователя уверенное знание бухгалтерского налогового законодательства умение большим количеством информации режиме многозадачности грамотная письменная устная речь
Москва,персонал,105000.0,сфере hr года знание пакета прикладных программ ms office word exсel хорошие коммуникативные навыки желание развиваться сфере hr активная жизненная позиция ответственность самостоятельность стрессоустойчивость умение режиме многозадачности
,персонал,75000.0,hrменеджером сотрудниками розницы иили общепита – навык самостоятельного массового точечного поиска найма персонала организации системы подбора грамотная устная письменная речь умение донести подчинённых других сотрудников цель задачи создание поддержание позитивной атмосферы соблюдением дисциплины чётких стандартов
Москва,персонал,100000.0,высшее образование владение английским языком уровне intermediate уверенный пользователь пк знание зуп аналогичной позиции х лет отличное знание трудового законодательства умение практически решать вопросы трудовых взаимоотношений принятия решений проведения внутренних внешних переговоров высокая самодисциплина способность режиме многозадачности вы получаете взамен оформление соответствии тк рф график суббота воскресенье выходные официальную заработную плату выплачиваемую раза месяц бесплатное горячее питание бесплатную красивую брендированную форму добровольное медицинское страхование истечении х месяцев специальные цены сотрудников их друзей родственников проживание услуги отелей accor гостиница находится пешей доступности м менделеевская мин м новослободская мин
Кострома,медсестра,26500.0,порядочность ответственность аккуратность общительность рассматриваются кандидаты основное место наличие медицинского осмотра обязательно будет
Москва,медсестра,18000.0,стоматологии мед учреждении мед книжка поддержание чистоты порядка
,кассир,47500.0,сфере общественного питания года желателен продажах любовь людям желание учиться
Санкт-Петербург,кассир,48750.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
